location,S0,sigma_pct,call_atm,put_atm,collar_net,K_low,K_high
Taiwan,0.0525,189.0,0.019184575576171713,0.018857473833899935,-0.002188710414110104,0.04725,0.05775
Saudi Arabia,0.055,172.0,0.018419009266167154,0.01807633125045386,-0.0021212183187104064,0.0495,0.060500000000000005
"Arizona, USA",0.058,165.0,0.01878378603459581,0.01813494262204733,-0.0024140924186461,0.0522,0.06380000000000001
Brazil,0.095,198.0,0.03689222518269944,0.03419986333219095,-0.005987562724769399,0.0855,0.10450000000000001
