end_date,beta,se,p,ci_low,ci_high
2020-01-30,-0.29216105258764946,0.08267867919576526,0.0004097970982960616,-0.45421126381134935,-0.13011084136394957
2020-02-06,-0.2653267846053459,0.08645255678585169,0.002147442630940266,-0.43477379590561527,-0.0958797733050766
2020-02-13,-0.2658873935804576,0.08773209147267516,0.002440083166099698,-0.4378422928669009,-0.09393249429401429
2020-02-20,-0.2614496406949965,0.08943154328556152,0.0034616344093454906,-0.43673546553469705,-0.08616381585529592
2020-02-27,-0.2536703054051014,0.0922236905805108,0.005948658219861506,-0.43442873894290257,-0.07291187186730022
2020-03-05,-0.21932994419126037,0.10013882994308423,0.028505479737265554,-0.4156020508797055,-0.02305783750281526
2020-03-12,-0.17733451987338636,0.10822021401058411,0.10128720066781915,-0.3894461393341312,0.0347770995873585
2020-03-19,-0.14963528933212977,0.11321207541206386,0.1862595672023708,-0.3715309571397749,0.07226037847551539
2020-03-26,-0.16634683596496322,0.10705188322007671,0.12021069055434841,-0.37616852707631354,0.04347485514638713
2020-04-02,-0.1826255125980599,0.10354560791749368,0.07777904595158949,-0.38557490411634754,0.020323878920227717
2020-04-09,-0.23329081444206795,0.10857527285603502,0.03166174990220741,-0.44609834923989655,-0.02048327964423932
2020-04-16,-0.24183132409684144,0.1071379420224317,0.02399583613762085,-0.45182169046080756,-0.03184095773287532
2020-04-23,-0.23902485584147218,0.10257560200828766,0.019793941145314846,-0.440073035777716,-0.03797667590522835
2020-04-30,-0.22762216522738676,0.09797449249966887,0.020164123029276258,-0.41965217052673776,-0.03559215992803577
2020-05-07,-0.19924858804472323,0.0929818286168379,0.03212300557020601,-0.3814929721337255,-0.017004203955720942
2020-05-14,-0.1950195178013388,0.08884175143978984,0.028154012276533687,-0.3691493506233269,-0.02088968497935073
2020-05-21,-0.19502701457440913,0.08697475172793852,0.024939369441944977,-0.36549752796116863,-0.024556501187649626
2020-05-28,-0.1950989066763435,0.08384828606084806,0.0199754585700393,-0.3594415473556057,-0.03075626599708131
2020-06-04,-0.2284013617361012,0.07529085964560188,0.002416651389315874,-0.37597144664148086,-0.08083127683072153
2020-06-11,-0.2346976274126346,0.07270401777824005,0.0012460469198072113,-0.3771975022579851,-0.0921977525672841
2020-06-18,-0.23496799574674,0.07285796143385923,0.001259662060213622,-0.37776960015710404,-0.09216639133637591
2020-06-25,-0.23988880420564931,0.0756209408362103,0.0015126083976595244,-0.3881058482446215,-0.09167176016667711
2020-07-02,-0.267025675240413,0.08024555856064214,0.0008759537090552537,-0.42430697001927153,-0.10974438046155441
2020-07-09,-0.32286233002280523,0.08091563986720086,6.604256901684359e-05,-0.4814569841625189,-0.16426767588309155
2020-07-16,-0.37462667477692246,0.0785443820377337,1.84575873511961e-06,-0.5285736635708805,-0.22067968598296442
2020-07-23,-0.42321826436082677,0.0783600423085314,6.629081745337515e-08,-0.5768039472855483,-0.26963258143610525
2020-07-30,-0.4707626053674348,0.08361257875820403,1.7991261561503374e-08,-0.6346432597335148,-0.3068819510013549
2020-08-06,-0.5285503900671207,0.09218927366616515,9.848493828347887e-09,-0.7092413664528043,-0.34785941368143697
2020-08-13,-0.5715384146182003,0.09149098432266349,4.185798060082706e-10,-0.7508607438906207,-0.3922160853457799
2020-08-20,-0.6046767334377089,0.09561689667636639,2.5495577026745695e-10,-0.792085850923387,-0.41726761595203077
