Date,Price,Returns,Energy_TWh_Annual,Google_Trends,EPU,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR_raw,CEIR
2023-12-01,38794.0,2.7764531341069265,137.683269911866,35.0,107.00157900354,814674000000.0,18860721.905735068,20281885287.068947,28.334348206100593,28.334348206100593
2023-12-02,39581.0,2.0286642264267574,137.683269911866,35.0,107.00157900354,831201000000.0,18860721.905735068,20300746008.97468,29.122131755091075,29.122131755091075
2023-12-03,39726.0,0.3663373840984363,137.683269911866,35.0,107.00157900354,834246000000.0,18860721.905735068,20319606730.880417,29.24495576466564,29.24495576466564
2023-12-04,42050.25,5.850702310829181,137.683269911866,35.0,107.00157900354,883055250000.0,18860721.905735068,20338467452.78615,31.617684640831104,31.617684640831104
2023-12-05,43896.0,4.389391264023401,137.683269911866,35.0,107.00157900354,921816000000.0,18860721.905735068,20357328174.691887,33.49241089740007,33.49241089740007
2023-12-06,43826.0,-0.15946783305995638,137.683269911866,35.0,107.00157900354,920346000000.0,18860721.905735068,20376188896.597622,33.38926643507918,33.38926643507918
2023-12-07,43400.81,-0.9701775201934937,137.909367965516,35.0,107.00157900354,911417010000.0,18891694.241851505,20395080590.839474,32.92053723492367,32.92053723492367
2023-12-08,44553.0,2.6547661207244833,138.607172899108,35.0,107.00157900354,935613000000.0,18987283.95878192,20414067874.798256,34.07517816959715,34.07517816959715
2023-12-09,43983.47,-1.2783202029044038,137.698247463025,35.0,107.00157900354,923652870000.0,18862773.625071924,20432930648.42333,33.45838547407554,33.45838547407554
2023-12-10,43802.67,-0.41106351999967705,137.683269911866,35.0,107.00157900354,919856070000.0,18860721.905735068,20451791370.329063,33.2418836907518,33.2418836907518
2023-12-11,41108.02,-6.151793943154615,137.683269911866,35.0,107.00157900354,863268419999.9999,18860721.905735068,20470652092.2348,30.44692553963273,30.44692553963273
2023-12-12,41086.0,-0.0535661897605344,137.683269911866,35.0,107.00157900354,862806000000.0,18860721.905735068,20489512814.140533,30.396330339791177,30.396330339791177
2023-12-13,42989.0,4.631748040695127,137.683269911866,35.0,107.00157900354,902769000000.0,18860721.905735068,20508373536.04627,32.3169947550981,32.3169947550981
2023-12-14,42988.0,-0.0023261764637516613,137.683269911866,35.0,107.00157900354,902748000000.0,18860721.905735068,20527234257.952003,32.286278398331206,32.286278398331206
2023-12-15,42235.0,-1.7516516237089386,137.683269911866,35.0,107.00157900354,886935000000.0,18860721.905735068,20546094979.85774,31.48700522577256,31.48700522577256
2023-12-16,42241.03,0.014277258198180931,137.683269911866,35.0,107.00157900354,887061630000.0,18860721.905735068,20564955701.763474,31.464285135538297,31.464285135538297
2023-12-17,41876.0,-0.8641597991336791,137.906299768197,35.0,107.00157900354,879396000000.0,18891273.940848906,20583846975.704323,31.062998124436923,31.062998124436923
2023-12-18,42611.0,1.7551819658037981,139.104723097241,35.0,107.00157900354,894831000000.0,19055441.52017,20602902417.22449,31.783434524863182,31.783434524863182
2023-12-19,42496.0,-0.26988336345075137,140.520722550455,35.0,107.00157900354,892416000000.0,19249414.048007533,20622151831.2725,31.636659711264592,31.636659711264592
2023-12-20,43445.0,2.233151355421681,141.162923045967,35.0,107.00157900354,912345000000.0,19337386.71862562,20641489217.991123,32.572504478697404,32.572504478697404
2023-12-21,44016.0,1.3143054436643986,142.519264529645,35.0,107.00157900354,924336000000.0,19523186.921869177,20661012404.91299,33.12209424148409,33.12209424148409
2023-12-22,43739.0,-0.6293166121410398,143.719442504851,35.0,107.00157900354,918519000000.0,19687594.86367822,20680699999.77667,32.80928595295746,32.80928595295746
2023-12-23,43709.02,-0.06854294794120808,144.310758261641,35.0,107.00157900354,917889419999.9999,19768597.022142608,20700468596.798813,32.74753983611902,32.74753983611902
2023-12-24,43526.0,-0.418723641024199,144.721486769785,35.0,107.00157900354,914046000000.0,19824861.20134041,20720293458.000153,32.53071687262949,32.53071687262949
