Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,fear_greed,volatility_30d,EPUREG,weighted_elec_price,daily_energy_gwh,daily_elec_cost_enhanced,CEIR_enhanced
2018-02-22,9933.5,-3.582310044969361,51.0913410661037,208603500000.0,6998813.844671739,314035097.71895176,-99.97767838070938,-99.97767838070938,44.0,124.21283608825668,216.87933412671413,0.076,139.9762768934348,10638.197043901046,469671.9131973953
2018-02-23,9920.64,-0.1294609150853221,51.3034706800584,208333440000.0,7027872.695898412,321062970.4148502,-98.63037135389102,-98.63037135389102,39.0,123.90336176552665,216.30026451826228,0.076,140.55745391796822,10682.366497765583,480354.27969516086
2018-02-24,9510.0,-4.139249080704466,51.5093543497167,199710000000.0,7056075.938317358,328119046.35316753,-122.79079939978332,-122.79079939978332,31.0,124.652033722662,217.70113413889135,0.076,141.12151876634712,10725.23542624238,491079.51512140327
2018-02-25,9367.24,-1.501156677181914,51.8157279634365,196712040000.0,7098044.926498151,335217091.2796657,-129.1341077948965,-129.1341077948965,33.0,124.38258851947096,217.19696459443716,0.076,141.96089852996303,10789.028288277192,501868.5434096805
2018-02-26,10373.34,10.740623705595254,52.0307087156315,217840140000.0,7127494.344607055,342344585.6242728,-64.7296932112743,-64.7296932112743,37.0,128.54410499422485,224.98374216726953,0.076,142.54988689214107,10833.791403802721,512702.3348134832
2018-02-27,10744.6,3.5789822757183343,52.2540148161492,225636600000.0,7158084.221390302,349502669.8456631,-41.09668176881949,-41.09668176881949,44.0,129.1647302656066,226.14501858504804,0.076,143.16168442780602,10880.288016513257,523582.62282999646
2018-02-28,10533.04,-1.96898907358114,52.4759997231814,221193840000.00003,7188493.112764576,356691162.95842767,-52.72393025949966,-52.72393025949966,41.0,128.65055036490813,225.1829162977089,0.076,143.7698622552915,10926.509531402155,534509.1323613987
2018-03-01,10929.91,3.767858092250664,52.6936405219016,229528110000.0,7218306.920808438,363909469.8792361,-28.77608544640268,-28.77608544640268,38.0,124.053703183245,216.581574273218,0.076,144.36613841616878,10971.826519628827,545480.9588810275
2018-03-02,11026.93,0.88765598252869,52.9353675362334,231565530000.0,7251420.210442932,371160890.0896791,-22.72456561347852,-22.72456561347852,47.0,123.92728331770657,216.34502507782076,0.076,145.02840420885863,11022.158719873256,556503.1176009008
2018-03-03,11283.14,2.3234934836803944,53.2801880631774,236945940000.0,7298655.899065398,378459545.9887445,-8.069713216035062,-8.069713216035062,56.0,119.29765306579384,207.6823413578838,0.076,145.97311798130792,11093.956966579402,567597.0745674802
2018-03-04,11122.44,-1.4242489236152234,53.5175587397774,233571240000.0,7331172.430106494,385790718.41885096,-16.663853465288216,-16.663853465288216,44.0,117.17173191556537,203.7044464643671,0.076,146.62344860212986,11143.382093761868,578740.4566612421
