Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,fear_greed,volatility_30d,EPUREG,weighted_elec_price,daily_energy_gwh,daily_elec_cost_enhanced,CEIR_enhanced,daily_energy_twh,daily_cost_millions,CEIR_corrected,cost_to_mcap_ratio,CEIR_methodology,daily_energy_twh_fixed,daily_cost_millions_fixed,cumulative_cost_millions,CEIR_fixed,YearMonth,date,canada,usa,russia,kazakhstan,iran,china,malaysia,others,weighted_price_calculated,DateTime,ETH_TWh_Annual,ETH_TWh_Min,ETH_BTC_ratio
2020-09-06,10239.65,1.4681677334070553,68.2561910131947,215032650000.0,9350163.152492424,8659911371.450584,-2.8830953261612686,-2.8830953261612686,41.0,51.5189596675168,80.85895549088517,0.069832885,187.00326304984847,13058.977363184817,12794441.554618414,0.1870032630498485,13058.97736318482,12794441.55461841,5.949999478971408e-05,Cumulative cost using time-varying electricity prices,0.1870032630498485,9350.163152492425,8654870.95346677,0.024845275123815354,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-06,6.32517527448,3.73536517176644,0.0926681547942995
2020-09-07,10151.79,-0.8580371399412923,67.9925533604857,213187590000.00003,9314048.405545987,8669225419.85613,-3.092826486964845,-3.092826486964845,41.0,51.11737288478599,80.10753062634728,0.069832885,186.28096811091973,13008.537423778524,12807450.092042193,0.1862809681109197,13008.537423778524,12807450.09204219,6.0075964515768425e-05,Cumulative cost using time-varying electricity prices,0.18628096811091974,9314.048405545987,8664185.001872316,0.02460561379448044,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-07,6.31331995794,3.81790948794764,0.09285310884660827
2020-09-08,10017.75,-1.3203582816429529,67.5434676651181,210372750000.0,9252529.817139463,8678477949.67327,-3.4138762778230505,-3.4138762778230505,41.0,51.08894460899135,80.05433735852412,0.069832885,185.05059634278933,12922.617013587427,12820372.70905578,0.1850505963427893,12922.617013587424,12820372.709055776,6.094122318149939e-05,Cumulative cost using time-varying electricity prices,0.1850505963427893,9252.529817139466,8673437.531689456,0.024254829671785567,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-08,6.30402518322,3.77405250811477,0.09333286254231847
2020-09-09,10264.0,2.458136807167288,67.7236518269421,215544000000.0,9277212.579033164,8687755162.252302,-2.8149964568821684,-2.8149964568821684,38.0,50.92689305016357,79.7511162967843,0.069832885,185.5442515806633,12957.090383043527,12833329.799438825,0.1855442515806633,12957.090383043527,12833329.79943882,5.953925787513834e-05,Cumulative cost using time-varying electricity prices,0.1855442515806633,9277.212579033165,8682714.744268488,0.024824493991614995,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-09,6.294864723,3.828500685,0.09294928068978925
2020-09-10,10301.23,0.3627240841777013,67.926822782423,216325830000.0,9305044.216770276,8697060206.469072,-2.722088779193527,-2.722088779193527,38.0,47.69669768411301,73.70697037430132,0.069832885,186.10088433540548,12995.961654192672,12846325.761093017,0.1861008843354054,12995.961654192672,12846325.761093011,5.938415103315684e-05,Cumulative cost using time-varying electricity prices,0.18610088433540548,9305.044216770275,8692019.788485259,0.024887866717305147,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-10,6.28547710776,3.774126488,0.0925330649998612
2020-09-11,10327.84,0.2583186667999948,68.1306032507702,216884640000.0,9332959.349420575,8706393165.818493,-2.6549869227996106,-2.6549869227996106,41.0,45.982254596960566,70.49900831000943,0.069832885,186.6591869884115,13034.949539155235,12859360.71063217,0.1866591869884115,13034.94953915524,12859360.710632166,5.929124676893747e-05,Cumulative cost using time-varying electricity prices,0.18665918698841152,9332.959349420576,8701352.747834679,0.024925393359552225,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-11,6.29004083478,3.898411153,0.09232328109040913
2020-09-12,10441.12,1.0968411594292735,68.3349950605225,219263520000.00003,9360958.227468835,8715754124.045961,-2.379195156824116,-2.379195156824116,41.0,46.218291503835005,70.94066627386967,0.069832885,187.2191645493768,13074.0543877727,12872434.765019942,0.1872191645493767,13074.0543877727,12872434.765019938,5.8707598806312775e-05,Cumulative cost using time-varying electricity prices,0.1872191645493767,9360.958227468835,8710713.706062147,0.025171705488082504,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-12,6.3068886804,3.975516369,0.09229368751419613
2020-09-13,10256.91,-1.764274330723148,68.5400000457041,215395110000.0,9389041.102151249,8725143165.148113,-2.8199984268776546,-2.8199984268776546,38.0,46.06178628679076,70.64782319094437,0.069832885,187.78082204302493,13113.276550936023,12885548.041570878,0.1877808220430249,13113.276550936023,12885548.041570874,5.982284389636735e-05,Cumulative cost using time-varying electricity prices,0.18778082204302493,9389.041102151246,8720102.747164298,0.02470098303257317,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-13,6.3219735951,3.96221972,0.09223772382381613
2020-09-14,10695.98,4.280723921726914,68.7456200458412,224615580000.0,9417208.2254577,8734560373.373571,-1.7613273413162105,-1.7613273413162105,39.0,48.70059442048339,75.5854011433807,0.069832885,188.344164509154,13152.616380588832,12898700.657951469,0.188344164509154,13152.616380588834,12898700.657951465,5.742567215484991e-05,Cumulative cost using time-varying electricity prices,0.188344164509154,9417.208225457702,8729519.955389755,0.02573057638310552,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-14,6.3373077444,3.917342978,0.09218489469109645
2020-09-15,10867.69,1.6053694939594187,68.9518569059787,228221490000.0,9445459.85013407,8744005833.223705,-1.3470382139095105,-1.3470382139095105,47.0,49.16114975762876,76.44716439533175,0.069832885,188.90919700268137,13192.074229730591,12911892.732181195,0.1889091970026813,13192.074229730591,12911892.732181191,5.65761477246564e-05,Cumulative cost using time-varying electricity prices,0.18890919700268138,9445.459850134072,8738965.41523989,0.026115389998226143,2020-09,2020-09-01,0.0,0.0708,0.0574,0.0409,0.0,0.6712,0.0448,0.1149,0.045518499999999996,2020-09-15,6.35160478068,3.970393397,0.09211651528603376
