Date,Price,Returns,Energy_TWh_Annual,Market_Cap,Daily_Energy_Cost,Cumulative_Energy_Cost,CEIR,CEIR_winsorized,EPU,fear_greed,EPUREG
2022-07-08,21836.44,1.033354770949102,130.72918315996,458565240000.0,17908107.282186303,12416321450.770016,17.60305907563672,17.60305907563672,222.789937563654,20.0,256.2084281982021
2022-07-09,21667.32,-0.7744852182864914,131.12137070944,455013720000.0,17961831.604032878,12434283282.374048,17.292007518019805,17.292007518019805,222.789937563654,24.0,256.2084281982021
2022-07-10,20996.39,-3.0965066284155185,131.514734821568,440924190000.0,18015717.09884493,12452298999.472893,16.13550959614005,16.13550959614005,222.789937563654,24.0,256.2084281982021
2022-07-11,20404.02,-2.821294517771855,131.909279026033,428484420000.0,18069764.25014151,12470368763.723034,15.114582701700948,15.114582701700948,222.789937563654,22.0,256.2084281982021
2022-07-12,19431.04,-4.768570115104764,131.262651745333,408051840000.0,17981185.170593563,12488349948.893627,13.456688889062413,13.456688889062413,222.789937563654,16.0,256.2084281982021
2022-07-13,19656.84,1.1620582326010265,131.262198784546,412793640000.0,17981123.12117069,12506331072.014795,13.816493342852354,13.816493342852354,222.789937563654,15.0,256.2084281982021
2022-07-14,20659.29,5.099751536869612,131.6559853809,433845090000.0,18035066.49053425,12524366138.505333,15.477437169777092,15.477437169777092,222.789937563654,18.0,256.2084281982021
2022-07-15,20921.18,1.2676621510226085,132.050953337042,439344780000.0,18089171.69000576,12542455310.195335,15.89360097922449,15.89360097922449,222.789937563654,15.0,256.2084281982021
2022-07-16,21211.79,1.389070788550173,132.447106197053,445447590000.0,18143439.205075752,12560598749.400414,16.356512464010297,16.356512464010297,222.789937563654,21.0,256.2084281982021
2022-07-17,20924.23,-1.3556611676808106,132.844447515645,439408830000.0,18197869.522691093,12578796618.923103,15.852774795644304,15.852774795644304,222.789937563654,24.0,256.2084281982021
2022-07-18,21482.89,2.6699190364472214,133.242980858191,451140690000.0,18252463.131259043,12597049082.054363,16.761123071338112,16.761123071338112,222.789937563654,20.0,256.2084281982021
2022-07-19,23292.03,8.421306444337784,133.642709800766,489132630000.0,18307220.52065288,12615356302.575018,19.74836255311692,19.74836255311692,222.789937563654,30.0,256.2084281982021
2022-07-20,23251.94,-0.1721189608634321,134.043637930168,488290740000.0,18362142.1822148,12633718444.757233,19.653021482605244,19.653021482605244,222.789937563654,31.0,256.2084281982021
2022-07-21,23128.25,-0.5319556131660352,134.445768843959,485693250000.0,18417228.608761508,12652135673.365992,19.41911281564968,19.41911281564968,222.789937563654,34.0,256.2084281982021
2022-07-22,22602.54,-2.27302108892804,134.849106150491,474653340000.0,18472480.29458781,12670608153.660582,18.51950097061504,18.51950097061504,222.789937563654,33.0,256.2084281982021
2022-07-23,22324.18,-1.2315430035739316,135.253653468942,468807780000.0,18527897.735471506,12689136051.396051,18.031785542627755,18.031785542627755,222.789937563654,31.0,256.2084281982021
2022-07-24,22755.58,1.9324338004800268,135.659414429349,477867180000.00006,18583481.428677943,12707719532.824732,18.71832151989003,18.71832151989003,222.789937563654,30.0,256.2084281982021
2022-07-25,22169.75,-2.5744454766699065,136.066392672637,465564750000.0,18639231.87296397,12726358764.697697,17.724217442753986,17.724217442753986,222.789937563654,30.0,256.2084281982021
2022-07-26,20978.19,-5.374711036434787,136.474591850655,440541990000.0,18695149.56858288,12745053914.26628,15.734887537472218,15.734887537472218,222.789937563654,26.0,256.2084281982021
2022-07-27,22779.31,8.585678745401793,136.884015626207,478365510000.0,18751235.01728864,12763805149.283567,18.67511351137944,18.67511351137944,222.789937563654,28.0,256.2084281982021
2022-07-28,24029.84,5.489762420371824,137.294667673085,504626640000.0,18807488.72234041,12782612638.005907,20.702077696792497,20.702077696792497,222.789937563654,32.0,256.2084281982021
2022-07-29,23948.97,-0.3365399020551107,137.706551676105,502928370000.0,18863911.18850753,12801476549.194414,20.538909631994432,20.538909631994432,222.789937563654,39.0,256.2084281982021
2022-07-30,23964.95,0.0667252078064395,138.119671331133,503263950000.0,18920502.92207301,12820397052.116488,20.534773527668428,20.534773527668428,222.789937563654,42.0,256.2084281982021
2022-07-31,23674.27,-1.2129380616274998,138.534030345127,497159670000.0,18977264.43083932,12839374316.547329,20.02898767960786,20.02898767960786,222.789937563654,39.0,256.2084281982021
2022-08-01,23121.93,-2.333081442426732,138.949632436162,485560530000.0,19034196.224131785,12858408512.77146,19.09727240008746,19.09727240008746,183.034826770099,33.0,210.49005078561382
2022-08-02,23020.25,-0.4397556778348521,139.34835746837,483425250000.0,19088816.09155754,12877497328.863018,18.903148941401685,18.903148941401685,183.034826770099,31.0,210.49005078561382
2022-08-03,23332.25,1.3553284608116778,139.766402540775,489977250000.0,19146082.53983219,12896643411.402851,19.38312489736493,19.38312489736493,183.034826770099,34.0,210.49005078561382
2022-08-04,22508.08,-3.5323211434816537,140.185701748397,472669680000.00006,19203520.787451643,12915846932.190302,18.01427976202745,18.01427976202745,183.034826770099,30.0,210.49005078561382
2022-08-05,22962.23,2.0177198588240186,140.606258853642,482206830000.0,19261131.34981397,12935108063.540115,18.724762778186808,18.724762778186808,183.034826770099,31.0,210.49005078561382
2022-08-06,22962.23,0.0,141.028077630203,482206830000.0,19318914.743863422,12954426978.28398,18.69683857155712,18.69683857155712,183.034826770099,31.0,210.49005078561382
2022-08-07,23170.75,0.908099953706598,141.451161863094,486585750000.0,19376871.488095067,12973803849.772074,19.006434262094388,19.006434262094388,183.034826770099,30.0,210.49005078561382
2022-08-08,24068.84,3.8759643084492312,141.875515348683,505445640000.0,19435002.10255932,12993238851.874634,20.429520539576792,20.429520539576792,183.034826770099,30.0,210.49005078561382
2022-08-09,23141.76,-3.851785129653118,142.301141894729,485976960000.0,19493307.108866982,13012732158.9835,18.902791281244244,18.902791281244244,183.034826770099,42.0,210.49005078561382
2022-08-10,23902.09,3.28553230177826,142.728045320413,501943890000.0,19551787.03019356,13032283946.013697,20.099615008781573,20.099615008781573,183.034826770099,31.0,210.49005078561382
2022-08-11,24211.0,1.2923974430687937,143.156229456375,508431000000.0,19610442.39128425,13051894388.40498,20.56643978352049,20.56643978352049,183.034826770099,41.0,210.49005078561382
2022-08-12,24247.25,0.1497253314609148,143.585698144744,509192250000.0,19669273.718458083,13071563662.123438,20.59372979072272,20.59372979072272,183.034826770099,42.0,210.49005078561382
2022-08-13,24488.0,0.9928961016197668,144.016455239178,514248000000.0,19728281.539613426,13091291943.663052,20.948887335199338,20.948887335199338,183.034826770099,46.0,210.49005078561382
2022-08-14,24320.0,-0.68605031035609,144.448504604895,510720000000.0,19787466.3842322,13111079410.047283,20.64818551800868,20.64818551800868,183.034826770099,47.0,210.49005078561382
2022-08-15,24068.89,-1.032524671052637,144.88185011871,505446690000.0,19846828.78338493,13130926238.830667,20.21538200519497,20.21538200519497,183.034826770099,45.0,210.49005078561382
2022-08-16,23964.26,-0.4347105329743139,145.316495669066,503249460000.0,19906369.269735068,13150832608.100405,20.01770289721797,20.01770289721797,183.034826770099,44.0,210.49005078561382
2022-08-17,23405.0,-2.333725305934753,145.731685656692,491505000000.0,19963244.61050576,13170795852.710909,19.09565699845188,19.09565699845188,183.034826770099,41.0,210.49005078561382
2022-08-18,23413.8,0.0375988036744212,146.168880713662,491689800000.0,20023134.34433726,13190818987.055246,19.08068030097257,19.08068030097257,183.034826770099,30.0,210.49005078561382
2022-08-19,21198.24,-9.46262460600158,142.312752400725,445163040000.00006,19494897.58914041,13210313884.644386,15.530519697831004,15.530519697831004,183.034826770099,33.0,210.49005078561382
2022-08-20,20812.0,-1.822038055989561,140.2144735575,437052000000.0,19207462.131164383,13229521346.77555,14.894869952950168,14.894869952950168,183.034826770099,29.0,210.49005078561382
2022-08-21,21468.0,3.152027676340574,140.468030774538,450828000000.0,19242195.99651205,13248763542.772062,15.913032134611417,15.913032134611417,183.034826770099,27.0,210.49005078561382
2022-08-22,21120.0,-1.62101732811627,139.242497402857,443520000000.0,19074314.712720137,13267837857.484783,15.339349348860807,15.339349348860807,183.034826770099,29.0,210.49005078561382
2022-08-23,21475.47,1.6830965909091056,139.636678870477,450984870000.0,19128312.174037945,13286966169.65882,15.879085361245984,15.879085361245984,183.034826770099,28.0,210.49005078561382
2022-08-24,21692.45,1.010362054939895,140.055588907088,455541450000.0,19185697.11056,13306151866.76938,16.198631441919023,16.198631441919023,183.034826770099,25.0,210.49005078561382
2022-08-25,21642.31,-0.2311403276255119,140.47575567381,454488510000.0,19243254.20189178,13325395120.971272,16.0962213917726,16.0962213917726,183.034826770099,25.0,210.49005078561382
2022-08-26,20646.0,-4.60352892089616,135.707475656805,433566000000.0,18590065.15846644,13343985186.129738,14.505861427454228,14.505861427454228,183.034826770099,27.0,210.49005078561382
2022-08-27,19986.58,-3.193935871355213,132.95548944,419718180000.00006,18213080.74520548,13362198266.874945,13.449746546982745,13.449746546982745,183.034826770099,28.0,210.49005078561382
2022-08-28,19979.71,-0.0343730643261763,131.661993227273,419573910000.0,18035889.48318808,13380234156.358131,13.420834635742796,13.420834635742796,183.034826770099,28.0,210.49005078561382
2022-08-29,20175.14,0.9781423253891086,131.425663436739,423677940000.0,18003515.539279316,13398237671.897411,13.709111936808045,13.709111936808045,183.034826770099,24.0,210.49005078561382
2022-08-30,19972.0,-1.0068827279513304,131.317134208735,419412000000.0,17988648.521744523,13416226320.419155,13.372761886622284,13.372761886622284,183.034826770099,27.0,210.49005078561382
2022-08-31,20203.25,1.1578710194271924,131.711085611361,424268250000.0,18042614.46730973,13434268934.886463,13.716284145651375,13.716284145651375,183.034826770099,23.0,210.49005078561382
2022-09-01,20074.25,-0.6385111306349223,132.027192216829,421559250000.0,18085916.742031373,13452354851.628496,13.496466009296585,13.496466009296585,201.738489402657,20.0,231.99926281305554
2022-09-02,19976.25,-0.4881876035219279,132.423273793479,419501250000.0,18140174.4922574,13470495026.120754,13.325512511004796,13.325512511004796,201.738489402657,25.0,231.99926281305554
2022-09-03,19739.0,-1.1876603466616564,132.400952720748,414519000000.0,18137116.81106137,13488632142.931816,12.938228142832836,12.938228142832836,201.738489402657,21.0,231.99926281305554
2022-09-04,19897.39,0.8024216019048458,132.570904149319,417845190000.0,18160397.82867384,13506792540.76049,13.16709273969396,13.16709273969396,201.738489402657,20.0,231.99926281305554
2022-09-05,19737.0,-0.8060856222851354,132.385591583958,414477000000.0,18135012.54574767,13524927553.306238,12.900401818222546,12.900401818222546,201.738489402657,23.0,231.99926281305554
2022-09-06,18983.75,-3.816436135177581,128.608657443333,398658750000.0,17617624.30730589,13542545177.613544,11.71557841743591,11.71557841743591,201.738489402657,22.0,231.99926281305554
2022-09-07,19383.0,2.103114505827341,126.78493395237,407043000000.0,17367799.171557534,13559912976.785105,12.318884367914576,12.318884367914576,201.738489402657,24.0,231.99926281305554
2022-09-08,19378.0,-0.0257958004436842,127.165288754227,406938000000.0,17419902.569072194,13577332879.354176,12.295345594262296,12.295345594262296,201.738489402657,20.0,231.99926281305554
2022-09-09,21296.53,9.900557333058105,127.546784620489,447227130000.0,17472162.27677932,13594805041.630957,15.24311156838327,15.24311156838327,201.738489402657,22.0,231.99926281305554
2022-09-10,21432.0,0.6361130193510478,127.929424974351,450072000000.0,17524578.763609726,13612329620.394564,15.432479660591037,15.432479660591037,201.738489402657,28.0,231.99926281305554
2022-09-11,21499.4,0.3144830160507705,128.313213249274,451487400000.00006,17577152.49990055,13629906772.894464,15.51642307785854,15.51642307785854,201.738489402657,26.0,231.99926281305554
2022-09-12,22403.93,4.207233690242518,128.698152889022,470482530000.0,17629883.957400274,13647536656.851864,16.888214759568662,16.888214759568662,201.738489402657,25.0,231.99926281305554
2022-09-13,20234.0,-9.685488215683591,129.084247347689,424914000000.0,17682773.609272465,13665219430.461136,13.531725629506417,13.531725629506417,201.738489402657,34.0,231.99926281305554
2022-09-14,19942.0,-1.4431155480873814,129.471500089732,418782000000.0,17735821.930100273,13682955252.391235,13.066037029446257,13.066037029446257,201.738489402657,27.0,231.99926281305554
2022-09-15,19846.0,-0.481396048540772,129.859914590001,416766000000.0,17789029.39589055,13700744281.787128,12.90192681247114,12.90192681247114,201.738489402657,28.0,231.99926281305554
2022-09-16,19750.0,-0.4837246800362793,130.249494333771,414750000000.0,17842396.48407822,13718586678.271204,12.738192650470737,12.738192650470737,201.738489402657,20.0,231.99926281305554
2022-09-17,20078.0,1.6607594936708825,130.640242816772,421638000000.0,17895923.67353041,13736482601.944736,13.22303571179748,13.22303571179748,201.738489402657,22.0,231.99926281305554
2022-09-18,19631.0,-2.226317362287078,131.032163545223,412251000000.0,17949611.444551095,13754432213.389286,12.523308656268766,12.523308656268766,201.738489402657,27.0,231.99926281305554
2022-09-19,19527.5,-0.5272273445061426,127.660483890909,410077500000.0,17487737.519302607,13771919950.908588,12.34958528703758,12.34958528703758,201.738489402657,21.0,231.99926281305554
2022-09-20,18973.25,-2.838304954551274,127.147745871355,398438250000.0,17417499.43443219,13789337450.34302,11.48991027092884,11.48991027092884,201.738489402657,23.0,231.99926281305554
2022-09-21,18921.0,-0.2753877169172414,125.973828038987,397341000000.0,17256688.772463974,13806594139.115486,11.396076281712151,11.396076281712151,201.738489402657,23.0,231.99926281305554
2022-09-22,19246.14,1.7184081179641542,126.15071388953,404168940000.0,17280919.71089452,13823875058.82638,11.875754034334973,11.875754034334973,201.738489402657,22.0,231.99926281305554
2022-09-23,18849.0,-2.063478702742472,126.435884088959,395829000000.0,17319984.121775206,13841195042.948154,11.25834868423389,11.25834868423389,201.738489402657,20.0,231.99926281305554
2022-09-24,19137.05,1.5281977823757176,126.801101709823,401878050000.0,17370013.932852466,13858565056.881006,11.68072230678925,11.68072230678925,201.738489402657,24.0,231.99926281305554
