Average electricity cost assumption: 0.05 USD/kWh,,,,,,,
Timestamp,Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh"
1670976000,2022-12-14T00:00:00,15.8099193486521,5.497101416411428,9.941206741460974,138.58975301028428,48.18759101626258,87.14461829564688
1671062400,2022-12-15T00:00:00,15.511248194949243,5.35405413296,9.757282368758002,135.97160167692508,46.93363852952736,85.53233724453263
1671148800,2022-12-16T00:00:00,15.266117800663528,5.241659892411429,9.606592366406629,133.8227886406165,45.94839061687858,84.2113886839205
1671235200,2022-12-17T00:00:00,15.099985323758947,5.159918604731429,9.492393552490483,132.36647134807092,45.23184648907569,83.21032188113156
1671321600,2022-12-18T00:00:00,15.142814562952015,5.149700943771428,9.509601674868923,132.7419124588374,45.14227847310035,83.361168281901
1671408000,2022-12-19T00:00:00,15.13209213736535,5.122124612502858,9.493513097265332,132.64791967614465,44.90054435320004,83.2201358106279
1671494400,2022-12-20T00:00:00,14.904329588571427,5.017790961485714,9.339972367428077,130.6513531734171,43.985955568383766,81.87419777287451
1671580800,2022-12-21T00:00:00,14.899411042285712,5.016135050902856,9.336890102900611,130.60823719667655,43.97143985621444,81.84717864202676
1671667200,2022-12-22T00:00:00,14.905697663999998,5.01825154688,9.340829687888114,130.66334572262397,43.98999305995007,81.8817130440272
1671753600,2022-12-23T00:00:00,15.001544063999997,5.050519834879999,9.400892954886979,131.50353526502397,44.27285687255807,82.40822764253925
1671840000,2022-12-24T00:00:00,14.302142489142854,4.815054638011428,8.962604782038841,125.37258105982627,42.20876895680818,78.56619351935248
1671926400,2022-12-25T00:00:00,14.311406214857142,4.818173425668571,8.968410004050115,125.45378687943769,42.23610824941069,78.6170820955033
1672012800,2022-12-26T00:00:00,14.244878098285712,4.7957756264228575,8.9267193820908,124.87060140957257,42.039769141222756,78.25162210340795
1672099200,2022-12-27T00:00:00,13.793984175018933,4.663878609074286,8.651942514017353,120.91806527821596,40.88355988714518,75.8429280778761
1672185600,2022-12-28T00:00:00,14.099390090520464,4.7957756564342855,8.854695844014381,123.5952535335024,42.039769404302945,77.62026376863007
1672272000,2022-12-29T00:00:00,14.120928748633927,4.827430961005715,8.877733576056091,123.78406141052501,42.31725980417609,77.82221252770769
1672358400,2022-12-30T00:00:00,14.44714654600667,4.964603897462857,9.092852299209179,126.64368662229447,43.5197177651594,79.70794325486766
1672444800,2022-12-31T00:00:00,15.416900812170459,5.318087956777142,9.711115350483519,135.14455251948627,46.61835902910843,85.1276371623385
1672531200,2023-01-01T00:00:00,15.556609488040705,5.391950254079999,9.783062927949556,136.3692387721648,47.26583592726528,85.75832962640581
1672617600,2023-01-02T00:00:00,15.899526426204492,5.5343990796342855,9.982252675893012,139.3752486521086,48.51454233207414,87.50442695687813
1672704000,2023-01-03T00:00:00,16.411686727583252,5.712674798331427,10.280445373264401,143.8648458539948,50.0773072821733,90.11838414203577
1672790400,2023-01-04T00:00:00,15.954898178676862,5.5536731993599995,9.968948925169666,139.8606374342814,48.68349926558976,87.38780627803727
1672876800,2023-01-05T00:00:00,16.111916954879266,5.608329202765715,10.042570246100045,141.23706402647164,49.16261379144425,88.033170777313
1672963200,2023-01-06T00:00:00,16.347352477421197,5.6902809605942855,10.161950058951348,143.30089181707422,49.881002900569506,89.0796542167675
1673049600,2023-01-07T00:00:00,16.233181442840806,5.650539646811429,10.064903326659186,142.30006852794247,49.532630543948976,88.2289425614944
1673136000,2023-01-08T00:00:00,16.119555136645932,5.610987945234285,9.994452701115225,141.30402032783826,49.185920327923746,87.61137237797605
