"level","label","stage","evidence_score","measurement_uncertainty_pct","custody_risk_pct","real_value_haircut_pct","max_real_value_kwh_per_day","risk_adjusted_real_value_kwh","closed_pilot_acceptable","paid_launch_acceptable"
"L0","Adapter sample or fixture","public_lab_only","32","5","100","100","0","0","false","false"
"L1","Operator-signed export","shadow_pilot_or_review","52","3","35","60","250","250","false","false"
"L2","Live inverter or gateway signed counter","closed_pilot_candidate","70","1.5","15","30","2500","1389.85","true","false"
"L3","Revenue-grade meter with gateway custody","risk_boxed_pilot","84","0.5","6","12","10000","1747.24","true","false"
"L4","Utility or settlement-corroborated meter","production_candidate_after_audit","93","0.2","2","5","50000","1886.225","true","true"
